,Unnamed: 0,Accident Ref.,Borough,Easting,Northing,Vehicle Type,Unnamed: 0,Y,X
230,1336,0111CW10974,WESTMINSTER,529770,180170,01 Pedal Cycle,230,-0.13157835,51.50557275
231,1341,0111CW10980,WESTMINSTER,530220,179130,01 Pedal Cycle,231,-0.12548191,51.49612302
232,1343,0111CW10982,WESTMINSTER,530610,180810,01 Pedal Cycle,232,-0.11924507,51.51113098
233,1345,0111CW10985,WESTMINSTER,529380,181290,01 Pedal Cycle,233,-0.13678373,51.51572739
234,1349,0111CW10992,WESTMINSTER,528400,178620,01 Pedal Cycle,234,-0.15187101,51.49195554
235,1356,0111CW11002,WESTMINSTER,529810,180410,01 Pedal Cycle,235,-0.13091404,51.50772041
236,1358,0111CW11003,WESTMINSTER,529210,179320,01 Pedal Cycle,236,-0.13995387,51.49806205
237,1365,0111CW11019,WESTMINSTER,524820,182800,01 Pedal Cycle,237,-0.20193185,51.53032296
238,1366,0111CW11021,WESTMINSTER,527830,181710,01 Pedal Cycle,238,-0.15895744,51.51985442
239,1371,0111CW11024,WESTMINSTER,528960,181460,01 Pedal Cycle,239,-0.14277113,51.5173511
240,1372,0111CW11027,WESTMINSTER,528830,182200,01 Pedal Cycle,240,-0.14437323,51.52403104
241,1381,0111CW11041,WESTMINSTER,528550,180130,01 Pedal Cycle,241,-0.14916164,51.50549181
242,1385,0111CW11043,WESTMINSTER,526680,182090,01 Pedal Cycle,242,-0.17538697,51.52352832
243,1391,0111CW11052,WESTMINSTER,528920,181690,01 Pedal Cycle,243,-0.14326319,51.5194272
244,1401,0111CW11060,WESTMINSTER,527800,181110,01 Pedal Cycle,244,-0.15960707,51.51446901
245,1411,0111CW11070,WESTMINSTER,528700,178750,01 Pedal Cycle,245,-0.14750475,51.49305571
246,1412,0111CW11070,WESTMINSTER,528700,178750,01 Pedal Cycle,246,-0.14750475,51.49305571
247,1414,0111CW11074,WESTMINSTER,527410,181910,01 Pedal Cycle,247,-0.16493535,51.52174662
248,1423,0111CW11083,WESTMINSTER,528570,180920,01 Pedal Cycle,248,-0.14858569,51.51258696
249,1426,0111CW11090,WESTMINSTER,529350,180650,01 Pedal Cycle,249,-0.13745058,51.50998264
250,1429,0111CW11091,WESTMINSTER,525690,181180,01 Pedal Cycle,250,-0.18997394,51.515571
251,1432,0111CW11098,WESTMINSTER,529680,177980,01 Pedal Cycle,251,-0.13367875,51.48591212
252,1442,0111CW11114,WESTMINSTER,530740,180690,01 Pedal Cycle,252,-0.11741728,51.51002253
253,1457,0111CW11142,WESTMINSTER,528930,180230,01 Pedal Cycle,253,-0.14365289,51.50630403
254,1459,0111CW11144,WESTMINSTER,529880,181130,01 Pedal Cycle,254,-0.12964081,51.51417488
255,1465,0111CW11148,WESTMINSTER,528800,181720,01 Pedal Cycle,255,-0.14498082,51.51972416
256,1470,0111CW11154,WESTMINSTER,530004,180654,01 Pedal Cycle,256,-0.1280303,51.50986865
257,1472,0111CW11155,WESTMINSTER,530510,180910,01 Pedal Cycle,257,-0.12064827,51.51205274
258,1477,0111CW11159,WESTMINSTER,526420,180960,01 Pedal Cycle,258,-0.17953787,51.51343112
259,1478,0111CW11160,WESTMINSTER,530200,179220,01 Pedal Cycle,259,-0.12573667,51.49693644
