,Accident Ref.,Borough,Easting,Northing,Vehicle Type
1260,0111CW10879,WESTMINSTER,526690,180910,01 Pedal Cycle
1273,0111CW10895,WESTMINSTER,529610,178300,01 Pedal Cycle
1274,0111CW10896,WESTMINSTER,526980,182980,01 Pedal Cycle
1278,0111CW10898,WESTMINSTER,529980,178300,01 Pedal Cycle
1287,0111CW10912,WESTMINSTER,528210,182040,01 Pedal Cycle
1289,0111CW10914,WESTMINSTER,529630,179150,01 Pedal Cycle
1292,0111CW10916,WESTMINSTER,528010,180670,01 Pedal Cycle
1293,0111CW10919,WESTMINSTER,528390,181010,01 Pedal Cycle
1300,0111CW10926,WESTMINSTER,528690,181150,01 Pedal Cycle
1302,0111CW10927,WESTMINSTER,530050,180360,01 Pedal Cycle
1304,0111CW10929,WESTMINSTER,529030,181500,01 Pedal Cycle
1306,0111CW10930,WESTMINSTER,526140,181370,01 Pedal Cycle
1309,0111CW10936,WESTMINSTER,528360,181090,01 Pedal Cycle
1312,0111CW10944,WESTMINSTER,528680,181150,01 Pedal Cycle
1315,0111CW10945,WESTMINSTER,527520,182640,01 Pedal Cycle
1324,0111CW10959,WESTMINSTER,528110,179100,01 Pedal Cycle
1326,0111CW10960,WESTMINSTER,526920,180690,01 Pedal Cycle
1329,0111CW10962,WESTMINSTER,530240,178740,01 Pedal Cycle
1331,0111CW10963,WESTMINSTER,527290,181570,01 Pedal Cycle
1333,0111CW10968,WESTMINSTER,527440,180160,01 Pedal Cycle
1336,0111CW10974,WESTMINSTER,529770,180170,01 Pedal Cycle
1341,0111CW10980,WESTMINSTER,530220,179130,01 Pedal Cycle
1343,0111CW10982,WESTMINSTER,530610,180810,01 Pedal Cycle
1345,0111CW10985,WESTMINSTER,529380,181290,01 Pedal Cycle
1349,0111CW10992,WESTMINSTER,528400,178620,01 Pedal Cycle
1356,0111CW11002,WESTMINSTER,529810,180410,01 Pedal Cycle
1358,0111CW11003,WESTMINSTER,529210,179320,01 Pedal Cycle
1365,0111CW11019,WESTMINSTER,524820,182800,01 Pedal Cycle
1366,0111CW11021,WESTMINSTER,527830,181710,01 Pedal Cycle
1371,0111CW11024,WESTMINSTER,528960,181460,01 Pedal Cycle
1372,0111CW11027,WESTMINSTER,528830,182200,01 Pedal Cycle
1381,0111CW11041,WESTMINSTER,528550,180130,01 Pedal Cycle
1385,0111CW11043,WESTMINSTER,526680,182090,01 Pedal Cycle
1391,0111CW11052,WESTMINSTER,528920,181690,01 Pedal Cycle
1401,0111CW11060,WESTMINSTER,527800,181110,01 Pedal Cycle
1411,0111CW11070,WESTMINSTER,528700,178750,01 Pedal Cycle
1412,0111CW11070,WESTMINSTER,528700,178750,01 Pedal Cycle
1414,0111CW11074,WESTMINSTER,527410,181910,01 Pedal Cycle
1423,0111CW11083,WESTMINSTER,528570,180920,01 Pedal Cycle
1426,0111CW11090,WESTMINSTER,529350,180650,01 Pedal Cycle
1429,0111CW11091,WESTMINSTER,525690,181180,01 Pedal Cycle
1432,0111CW11098,WESTMINSTER,529680,177980,01 Pedal Cycle
1442,0111CW11114,WESTMINSTER,530740,180690,01 Pedal Cycle
1457,0111CW11142,WESTMINSTER,528930,180230,01 Pedal Cycle
1459,0111CW11144,WESTMINSTER,529880,181130,01 Pedal Cycle
1465,0111CW11148,WESTMINSTER,528800,181720,01 Pedal Cycle
1470,0111CW11154,WESTMINSTER,530004,180654,01 Pedal Cycle
1472,0111CW11155,WESTMINSTER,530510,180910,01 Pedal Cycle
1477,0111CW11159,WESTMINSTER,526420,180960,01 Pedal Cycle
1478,0111CW11160,WESTMINSTER,530200,179220,01 Pedal Cycle
1480,0111CW11161,WESTMINSTER,528680,178410,01 Pedal Cycle
1489,0111CW11171,WESTMINSTER,530120,178970,01 Pedal Cycle
1503,0111CW11195,WESTMINSTER,530070,180420,01 Pedal Cycle
1505,0111CW11200,WESTMINSTER,528310,179830,01 Pedal Cycle
1507,0111CW11201,WESTMINSTER,530560,180880,01 Pedal Cycle
1508,0111CW11205,WESTMINSTER,529000,181220,01 Pedal Cycle
1510,0111CW11207,WESTMINSTER,530230,178980,01 Pedal Cycle
1518,0111CW11216,WESTMINSTER,528210,181060,01 Pedal Cycle
1522,0111CW11226,WESTMINSTER,530010,180360,01 Pedal Cycle
1543,0111CW11245,WESTMINSTER,525500,181800,01 Pedal Cycle
1554,0111CW11257,WESTMINSTER,529790,180930,01 Pedal Cycle
1559,0111CW11264,WESTMINSTER,525230,181550,01 Pedal Cycle
1562,0111CW11269,WESTMINSTER,529330,177870,01 Pedal Cycle
1563,0111CW11269,WESTMINSTER,529330,177870,01 Pedal Cycle
1564,0111CW11270,WESTMINSTER,527980,181010,01 Pedal Cycle
1567,0111CW11272,WESTMINSTER,528790,182200,01 Pedal Cycle
1570,0111CW11276,WESTMINSTER,530620,180900,01 Pedal Cycle
1579,0111CW11287,WESTMINSTER,527480,182680,01 Pedal Cycle
1580,0111CW11290,WESTMINSTER,529360,178730,01 Pedal Cycle
1583,0111CW11293,WESTMINSTER,528970,181370,01 Pedal Cycle
1587,0111CW11295,WESTMINSTER,526890,180120,01 Pedal Cycle
1588,0111CW11295,WESTMINSTER,526890,180120,01 Pedal Cycle
1595,0111CW11301,WESTMINSTER,527540,183290,01 Pedal Cycle
1599,0111CW11307,WESTMINSTER,527970,180780,01 Pedal Cycle
1613,0111CW11323,WESTMINSTER,526050,182040,01 Pedal Cycle
1617,0111CW11326,WESTMINSTER,530110,180120,01 Pedal Cycle
1619,0111CW11328,WESTMINSTER,528150,180510,01 Pedal Cycle
